salary,city,company,company_size,tag,work_experience,company_address,job_description,education,age,job_title
18-36万," 
杭州
",贝购,公司规模：1000-2000人,"带薪年假,交通补助,五险一金,团队聚餐,岗位晋升,年度旅游",3年以上经验,公司地址：杭州市江干区九盛路9号东方电子商务园12幢贝贝大楼,"工作内容/职位描述：
1.  负责贝贝早教产品的设计和落地实施
2.  大型内容平台方向，公司重点项目
任职资格：
1. 3年以上移动产品经验，大中型前后台产品规划设计、项目管理能力
2. 上进心、执行力、逻辑性、框架性思维、沟通能力强
                            ",本科及以上,年龄不限,资深产品经理（内容平台方向）
22-42万," 
上海-闵行区
",苏州达家迎信息技术有限公司,公司规模：100-499人,"带薪年假,交通补助,通讯津贴,午餐补助,年度旅游,管理规范,发展空间大,股票期权,定期体检",3年以上经验,公司地址：申长路999号227室,"职位描述：
1、负责财务应收应付系统的产品规划、需求分析、驱动实施等工作；
2、能够与业务方、UED、开发、测试等紧密协同，达成产品目标共识并推动项目落地；
3、能够挖掘用户潜在的需求和问题，通过用户需求分析、市场和竞争对手分析等设计相应的产品功能；
4、负责产品相关的产品数据分析、项目管理、日常运营推广等工作；
5，不断优化财务模型，推动公司收入和利润增加。
能力要求：
 1. 拥有大型的SaaS产品经验，或工具类产品设计经验
 2. 丰富的后台产品设计经验，拥有应收应付方面产品规划和实施经验 
3. 拥有强大的抗压能力，对自己有严格的要求 
4. 创新精神优异，执行力超强，乐观、具备优秀团队精神 
5. 在中大型互联网公司从业经验者优先，本科工作经验＞=5年，研究生＞=3年 
6.理工类本科以上学历，211院校优先，计算机专业优先，研究生优先 
7.有过数据分析、电子商务网站做过后台应收应付系统、四大咨询公司、ERP整体解决方面的经验优先
                            ",本科及以上,年龄不限,高级产品经理
20-39万," 
上海
",路路由,公司规模：100-499人,"年底双薪,股票期权,优秀员工奖,全勤奖,休闲餐点,公司规模大,发展空间大,团队聚餐",3年以上经验,公司地址：花木路838号,"岗位职责:
岗位职责:
1、负责和业务需求方沟通，收集与拟写产品需求，并推进执行；
2、负责进行产品详细特性规划和产品设计，，包含但不限于撰写PRD文档、功能流程梳理、功能点梳理、每个功能点逻辑判断、字段梳理等，并协助开发团队理解和掌握需求；
3、负责部分跨平台产品功能的调研和设计；
4、关注产品数据和用户反馈，提炼用户需求，指导产品设计，完成产品迭代以及用户活跃增长等目标；
5、负责互联网产品的竞品优缺点分析，及时掌握竞品动态，并持续改善产品；
6、负责收集用户的反馈需求，进行产品快速迭代的推进。
任职要求：
1、3年以上的产品经理经验，熟悉电商和金融或020平台者优先；
2、必须负责过一个项目（产品），其主要跟进时间超过一年，期间通过各种方式改进产品，使其数据指标得到提升；
3、要求做过管理端。
4、有技术背景的优先。
注：面试必须带作品和PRD文档。
     需工科相关专业毕业
                            ",大专及以上,年龄不限,高级产品经理
21-42万," 
北京
",北京云瞳视光科技有限公司,公司规模：1-49人,"弹性工作,扁平管理,绩效奖金,带薪年假,交通补助,通讯津贴,午餐补助,五险一金,团队聚餐,股票期权",1年以上经验,公司地址：北京市朝阳区百子湾石门村5号东朝时代广场西区1号楼101室,"工作内容  
1 根据C端借书业务需求设计产品逻辑流程图，写产品PRD文档。
2 提出产品的技术方案，设计产品原型。
3 负责对规划产品的需求分析、设计、开发和测试阶段性过程进行指导和监控  
4 了解产品开发和测试的阶段性进展，发现存在问题时及时采取解决措施
5参与相关需求规划说明书的评审
任职资格：  
1 素质要求，善于沟通和表达，思维逻辑清晰
2 做事认真负责，热爱产品经理岗位
3 熟悉产品交互的优先
4有微信公众号设计经验或成熟产品设计经验的优先(面试要带有设计的产品或PRD）
共享阅读项目，由方创资本的创始人吴明华发起，CEO是来自文化传媒领域的连续创业者。种子轮投资规模数百万元。
                            ",本科及以上,年龄不限,产品经理
18-30万," 
北京-朝阳区
",北京击掌体育科技有限公司,公司规模：1-49人,"带薪年假,交通补助,午餐补助,通讯津贴,定期体检,弹性工作",4年以上经验,公司地址：光华路soho2,"废话不多说，先晒晒福利
1、业内竞争力的薪酬待遇（具体因人而异哈）
2、公司全员标配 Mac
3、午餐补助
4、正规五险一金保障
5、弹性上班制
6、我们很忙，但也要保证双休（也要保证双休、要保证双休、保证双休、证双休、双休、休……）
7、水果零食免费供应（只要你不减肥）
8、员工享受李宁旗下所有品牌 6 折优惠
如果有稍稍打动你，来看看我们需要的人才吧，我对这些小伙伴是介样描述滴： 
职位描述：
1、组织完成产品调研及竞品分析。根据竞品系统做出调研报告，不断迭代系统，主动针对业务逻辑制定系统功能及长期规划；
2、对需求、交互、视觉有明确的判断和把控能力；
3、可以同时协调多个“开发周期长、参与部门多”的大型项目，做到有效沟通、控制风险、保证质量；
4、负责产品及时、准确地研究、监控、分析app动态，并提出相应的对策
5、与其他团队紧密配合，快速、高效推动产品设计、研发、运营、推广
资格要求：
1、本科以上学历，4年以上移动互联网从业经验
2、有丰富的一线产品实战经验，成败皆有，总结形成自己的产品观、方法论
3、有10人以上的团队管理经验，具备良好的协作意识、沟通能力、组织协调和推动能力
3、掌握行业最新动态，关注行业、业务发展趋势，关注创新性产品理念，并对关键点有独立见解 
4、具备较强的策略和规划能力，具备出色的分析和解决问题的能力，具备良好的数据敏感性和逻辑思维能力
5、乐于接受挑战，能承载较大的压力
6、有运动、社交APP行业经验优先
加分项：
1、喜欢体育运动

",本科及以上,年龄不限,产品经理
25-40万," 
北京
",网易集团,公司规模：10000人以上,,1年以上经验,公司地址：杭州市滨江区网商路599号网易大厦,"工作职责：
1.       负责对互联网及相关行业进行持续深度的研究，辅助管理层完成产品发展规划的制定；
2.       结合自身经验积累以及对互联网新动态的研究，为公司挖掘新的发展及布局方向；
3.      负责新产品的落地孵化，带领完成新产品团队组建，产品设计，试运行等工作。
任职要求：
1.       （任一行业）资深行业从业者，具有丰富的从业经验，有管理经验者优先；
2.       熟悉所在行业内知名企业和潜力企业动态，拥有行业人脉关系；
3.       有敏锐的商业洞察能力，优秀的创新能力及学习能力；
4.       充满激情，拥有良好的人际交往能力与团队合作精神；
5.       全日制研究生以上学历，有海外留学背景者优先。
                            ",学历不限,20-50岁,新产品研究策划经理-电子商务部042
18-30万," 
深圳
",深圳市由心网络科技有限公司,公司规模：1-49人,"股票期权,五险一金,带薪年假,岗位晋升,休闲餐点,发展空间大,团队聚餐,节日礼物,技能培训,工作氛围轻松,年度旅游,扁平管理",3年以上经验,公司地址：南山区深南大道海岸时代大厦东B座15层021室,"职责描述：
负责产品的需求分析、市场分析、用户调研和竞品分析
2、负责移动端,WEB端互联网产品的原型设计
3、编写市场需求文档、产品需求文档、原型图、流程图、产品相关PPT等文档文案
4、支持并推动产品开发、测试工作，推动产品按质按时上线
5、负责产品的运营支持和推广，分析用户及产品数据并对产品进行持续迭代优化
6、负责产品的框架、交互设计、原型设计、产品的视觉设计工作，参与制定UE规程，审核与决策UE目标；负责维护和更新设计流程的标准和规范，负责标准和规范的实施；
7、客户交互设计：通过对客户行为研究和产品需求分析，制定产品界面以及整体交互流程；跟踪和分析业界的可用性设计趋势，规划产品的整体设计和易用性；对交互设计过程有深入的了解，可以独立完成整个设计过程。 
任职要求：
4年以上产品经验，其中2年以上互联网产品设计运营工作经验，有互联网产品UI设计经验，有UE设计经验者优先，能设计出具备说服力和感染力的作品；
2、触觉敏感，对产品的设计、视觉交互、用户体验有独特的见解
3、熟悉使用PPT，Visio， Axure RP, Mind Manager等软件工具
4、熟练使用Photoshop、Illustrator、Flash、Dreamweaver、Painter、Adobe其中的多种软件，以及HTML、DHTML、Javascript、CSS+DIV布局，有axure或者mockups一定的技能，能完成从原画到色彩的整个作品的设计；
5、具有软件产品界面风格设定以及VI设定（包括界面、图标风格与统一规范等）经验，对UI设计有良好的认知和深刻的理解，色彩感、形式感强，思路开阔，创意丰富；
6、用户需求把握精准，良好的用户体验感知， 产品设计具备前瞻性，良好的逻辑思维，能以创业精神参与设计，较强的抗压能力，具备极高的责任感；
7、有大数据相关项目或需求管理，质量管理、产品设计经验优先。
8、沟通能力和协调能力强，具有团队协作精神。
9、有BAT等知名互联网企业产品经理经验者优先；

",统招本科,年龄不限,高级产品经理
20-33万," 
上海
",信用飞/首付游,公司规模：50-99人,"领导好,技能培训,岗位晋升,发展空间大,年底双薪,股票期权,绩效奖金,带薪年假,定期体检,弹性工作,节日礼物,扁平管理,五险一金,团队聚餐,休闲餐点,优秀员工奖",3年以上经验,公司地址：徐汇区虹漕路88号H88越虹广场B座309室,"【岗位职责】
1、负责信用飞信贷产品的相关运营工作，制定产品运营方案、进行营销活动策划、数据分析及合作洽谈等工作；
2、负责信贷用户生命周期运营，深入理解并挖掘用户需求，提升用户黏性和活跃；
3、深入市场，进行竞品分析，跟踪市场变化，合理调整和优化运营策略；
4、对产品数据进行监控和分析，控制调整成本、收益等各项表现；
5、统筹运营项目的进度，推动项目进行，最终达成运营目标。
 
【任职要求】
1、本科以上学历，3年以上互联网产品运营或金融产品运营经验；
2、具有较强的数据敏感性及数据分析能力；
3、具有良好的沟通能力和开拓能力，善于合作沟通；
4、热爱互联网，有较强的抗压能力、学习能力、责任心和创新力；
5、有信贷产品运营经验者优先。
                            ",本科及以上,年龄不限,高级产品运营经理（信贷产品）
22-30万," 
广州
",正誉医疗用品,公司规模：100-499人,"领导好,技能培训,岗位晋升,发展空间大 ",3年以上经验,公司地址：广东正誉医疗用品有限公司,"主要职责：
1. 负责APP产品的规划与设计，设计符合需求并当前技术可实现的APP产品原型;
2. 深度理解业务，规划产品模型，制定产品路线图，确定产品策划方案；
3. 负责产品模块及功能设计，撰写详细的产品需求文档和原型设计文档；
4. 与设计、开发、运营等部门密切配合，确保其他团队对产品的充分理解和快速迭代；
5. 分析和统计产品数据，多方面收集反馈及需求，综合判断并据此进行产品优化迭代。
岗位要求：
1. 大专以上学历，信息管理、计算机、电子等相关专业；
2. 3年以上产品策划或互联网产品运营经验；
3. 较强的语言组织能力、较强的文档/图表表达能力，以及较强的沟通协作能力；
4. 系统化思考的能力，出色的业务理解力，优秀的建模能力，良好的产品架构设计能力；
5. 熟悉其中一种原型设计工具，快速完成概念原型的制作，了解当前流行的软件开发技术或电子产品开发技术；
6. 有医疗健康互联网产品策划经验或互动社区产品策划经验者优先考虑；
7. 热爱产品策划工作，能够承受工作压力、有良好团队合作精神。
                            ",大专及以上,年龄不限,高级产品经理（互联网）
20-26万," 
苏州-吴中区
",科沃斯机器人股份有限公司,公司规模：2000-5000人,"带薪年假,交通补助,通讯津贴,午餐补助,定期体检,年度旅游,节日礼物,免费班车,五险一金",5年以上经验,公司地址：友翔路18号,"职责描述： 1、负责公司国际业务各互联网系统平台的需求调研、梳理和系统落地； 2、负责编写规范的需求规格说明书、用户使用和培训手册，负责用户培训； 3、协助项目经理推进项目需求内容的技术实现，协助技术团队把控需求实现质量； 4、负责系统平台的日常改进优化工作，提出改进需求； 5、与国际业务团队沟通梳理需求并分析评估； 6、与技术团队沟通需求实现方案，评审需求文档，协调技术资源和系统开发实现进度； 7、对产品的运营数据进行监控和分析，不断优化系统，改进用户体验，提升系统平台价值和用户满意度； 岗位要求： 1、本科或以上学历，计算机相关专业毕业，3年以上互联网产品需求分析设计相关工作经验； 2、熟悉Axure、visio、word、ppt等常用产品设计工具，能熟练进行原型设计； 3、具备专业的产品设计和需求分析能力，能对系统业务概念、业务流程、逻辑规则、扩展变化进行抽象和设计； 4、良好的文档书写能力，逻辑思维能力、独立创新能力强，注重细节，执行力强； 5、熟练掌握软件过程模型和角色职责，有丰富的实践经验； 6、具有较强的判断和决策能力、人际沟通和协调能力、计划与执行能力； 7、具有较强的工作热情和责任感，熟悉互联网及电子商务行业，熟悉移动互联网发展； 8、英语口语能力熟练且有相关工作经验； 9、有大型电子商务平台工作经验者优先，有独立承担互联网项目产品设计工作经历者优先； 10、有互联网技术开发经验者优先。
                            ",统招本科,年龄不限,互联网产品经理（国际）
14-28万," 
上海
",上海即富信息技术服务有限公司,公司规模：500-999人,"带薪年假,五险一金,节日礼物,团队聚餐,发展空间大,年底双薪,领导好,公司提供专车,管理规范,岗位晋升,做五休二",2年以上经验,公司地址：上海市浦东新区金科路2555号（中国芯科技园）C栋,"岗位职责：
1、创新性互联网金融产品设计，完成互联网或软件产品的整体实现，包括从需求分析到产品发布；
2、负责产品的《可行性方案》《需求调研报告》《需求规格说明书》等相关文档的编写、业务流程、DEMO原型、UI、交互设计等；
3、协调对接外部资源，组织调查分析行业发展机会，熟悉竞品分析方法，完成市场分析和竞争分析报告；
4.通过数据分析与测算，制定针对B端、C端用户的产品定价、推广激励政策，分析产品的盈利性、风险性和流动性，对产品市场及需求进行挖掘和研究，提供新产品开发或现有产品升级的合理化方案；
5、与研发团队密切配合，协助研发团队理解和掌握需求，协调各方资源，快速、高效推进产品项目进度； 
6、监控产品效果，收集内外部用户反馈，挖掘用户需求，实现产品持续优化。
任职要求：
1、大专及以上学历，计算机、金融学、财务会计、数量经济、金融工程、投资等相关专业；
2、至少2年以上产品工作经验，有互联网、电商、消费金融, 小额信贷, 或场景化金融产品设计者优先；
3、熟悉相关的法律和金融行业规定，精通金融产品的合规性要求；
4、具有非常好的风险控制意识，具备相关的实际经验
                            ",大专及以上,年龄不限,金融产品经理
18-24万," 
北京
",学科网,公司规模：500-999人,"绩效奖金,带薪年假,弹性工作,节日礼物,领导好,扁平管理,生育补贴,团队聚餐,岗位晋升,技能培训,外派津贴,发展空间大,优秀员工奖,全勤奖,公司规模大",3年以上经验,"公司地址：北京市房山区良乡首发物流商务楼B座（苏庄地铁站附近,提供住宿，有班车）","部门：数据运营中心
招聘人数：1人
硬性要求：统招本科，有毕业证和学位证
岗位职责：
1、负责学科网销售系统及渠道管理系统的建设工作
2、负责各类型的销售流程梳理及优化
3、基于销售数据进行数据分析
4、对用户体验提升有较高敏感度
任职要求
1、精通J2EE项目开发及管理
2、3年以上项目开发经验，有ERP，CRM系统开发经验优先
3、熟悉Linux服务器的运维管理
4、对产品销售或客户管理方面有相关经验
5、熟悉BPMN标准规范
6、需要团队合作、及开发文案撰写能力

",统招本科,年龄不限,产品经理
5-8万," 
长沙-雨花区
",长沙爱登网络科技有限公司,公司规模：50-99人,"绩效奖金,年度旅游,五险一金,团队聚餐,扁平管理,领导好,带薪年假,岗位晋升,发展空间大,优秀员工奖",1年以上经验,公司地址：长沙市雨花区树木岭路16号双铁城综合楼18楼,"职责描述：
1、负责市场调研，分析竞争品，策划相关项目；
2、根据用户体验确立功能点，不断完善策划案，进行策划优化及改进；
3、负责产品的功能策划，原型设计、撰写产品需求说明书等相关文档；
4、负责相关产品开发项目周期和进度的把控，对产品完成的进度和质量负责；
5、配合相关进行广告宣传策划、以及产品相关推广的文案工作；
6、负责制定广告公司在线产品的产品设计、实施方案和工作目标；
7、对产品的运营状况进行监控和分析，并提出改进方案；
任职要求：
1、熟练使用office办公软件，文字功底强；
2、有独特的产品、用户心理分析能力，擅长分析市场发展方向和动态，对移动互联网发展潮流高度关注，思维活跃、有创意；
3、对用户需求能敏锐的察觉，有较强的逻辑思维能力，需求分析能力及产品规划能力；
4、熟练使用axure、Mockplus等原型设计软件；
5、熟练使用photoshop等图片处理软件，能够简单处理素材图片；
6、熟练使用思维导图相关软件；
7、良好的团队沟通协调能力，可承受一定的工作压力，有责任心，通过持续学习完善自身；
8、具备较强的逻辑思维能力、自学能力、英文阅读能力和沟通能力。
                            ",学历不限,年龄不限,产品策划经理
